time_s,AIN1_RAW,AIN2_RAW,AIN3_RAW,AIN4_RAW,AIN1_voltage_est,AIN2_voltage_est,AIN3_voltage_est,AIN4_voltage_est,AIN1_filtered_v,AIN2_filtered_v,AIN3_filtered_v,AIN4_filtered_v
1.29,1975,1486,2647,825,2.38736263736264,1.79626373626374,3.19967032967033,0.997252747252747,2.46001098901099,1.86613186813187,3.20220879120879,1.01707692307692
1.3,2109,1554,2633,815,2.54934065934066,1.87846153846154,3.18274725274725,0.985164835164835,2.45638461538462,1.87096703296703,3.20027472527473,1.00897802197802
1.31,2053,1554,2652,805,2.48164835164835,1.87846153846154,3.20571428571429,0.973076923076923,2.44671428571429,1.8803956043956,3.19084615384615,0.999549450549451
1.32,1937,1554,2630,820,2.34142857142857,1.87846153846154,3.17912087912088,0.991208791208791,2.42410989010989,1.8942967032967,3.18601098901099,0.997494505494505
1.33,1957,1670,2632,792,2.3656043956044,2.01868131868132,3.18153846153846,0.957362637362637,2.40428571428571,1.91315384615385,3.17452747252747,0.987461538461539
1.34,2010,1558,2627,787,2.42967032967033,1.8832967032967,3.17549450549451,0.951318681318681,2.40053846153846,1.92959340659341,3.17041758241758,0.970538461538461
1.35,1993,1600,2629,800,2.40912087912088,1.93406593406593,3.17791208791209,0.967032967032967,2.39171428571429,1.95654945054945,3.16413186813187,0.962681318681319
1.36,1907,1659,2600,806,2.30516483516484,2.00538461538462,3.14285714285714,0.974285714285714,2.35823076923077,1.97020879120879,3.16086813186813,0.951076923076923
1.37,1939,1663,2588,798,2.34384615384615,2.01021978021978,3.12835164835165,0.964615384615385,2.3297032967033,1.98108791208791,3.15893406593407,0.941527472527473
1.38,1979,1665,2590,781,2.3921978021978,2.01263736263736,3.13076923076923,0.944065934065934,2.31773626373626,2.00091208791209,3.16074725274725,0.928593406593407
1.39,1902,1709,2595,760,2.29912087912088,2.06582417582418,3.13681318681319,0.918681318681319,2.30987912087912,2.00224175824176,3.15736263736264,0.915538461538462
1.4,1832,1667,2606,719,2.21450549450549,2.01505494505495,3.15010989010989,0.869120879120879,2.27917582417582,2.02557142857143,3.146,0.906230769230769
1.41,1817,1644,2636,726,2.19637362637363,1.98725274725275,3.18637362637363,0.877582417582418,2.25052747252747,2.04648351648352,3.14201098901099,0.88967032967033
1.42,1838,1718,2645,713,2.22175824175824,2.0767032967033,3.19725274725275,0.861868131868132,2.23650549450549,2.06425274725275,3.13451648351648,0.875769230769231
1.43,1892,1681,2604,684,2.28703296703297,2.03197802197802,3.14769230769231,0.826813186813187,2.21281318681319,2.07924175824176,3.13657142857143,0.858725274725275
1.44,1756,1751,2533,710,2.12263736263736,2.11659340659341,3.06186813186813,0.858241758241758,2.17715384615385,2.09096703296703,3.13596703296703,0.84421978021978
1.45,1756,1773,2596,663,2.12263736263736,2.14318681318681,3.13802197802198,0.801428571428571,2.15575824175824,2.09846153846154,3.13064835164835,0.830923076923077
1.46,1791,1806,2538,691,2.16494505494506,2.18307692307692,3.06791208791209,0.835274725274725,2.14935164835165,2.1236043956044,3.12762637362637,0.817384615384615
1.47,1743,1787,2605,657,2.10692307692308,2.16010989010989,3.1489010989011,0.794175824175824,2.14475824175824,2.14693406593407,3.11614285714286,0.806747252747253
1.48,1684,1762,2585,661,2.0356043956044,2.12989010989011,3.12472527472527,0.799010989010989,2.13375824175824,2.15793406593407,3.10345054945055,0.790912087912088
1.49,1725,1771,2551,650,2.08516483516484,2.14076923076923,3.08362637362637,0.785714285714286,2.11248351648352,2.17582417582418,3.09305494505494,0.776648351648352
1.5,1779,1875,2581,607,2.15043956043956,2.26648351648352,3.11989010989011,0.733736263736264,2.10958241758242,2.17920879120879,3.09498901098901,0.762747252747253
1.51,1779,1837,2541,638,2.15043956043956,2.22054945054945,3.07153846153846,0.771208791208791,2.10728571428571,2.18065934065934,3.08640659340659,0.752472527472527
1.52,1747,1809,2540,582,2.11175824175824,2.1867032967033,3.07032967032967,0.703516483516484,2.101,2.17594505494506,3.08398901098901,0.735186813186813
1.53,1716,1829,2518,566,2.07428571428571,2.21087912087912,3.04373626373626,0.684175824175824,2.11224175824176,2.18682417582418,3.0719010989011,0.724186813186813
1.54,1732,1779,2549,595,2.09362637362637,2.15043956043956,3.08120879120879,0.719230769230769,2.11115384615385,2.19117582417582,3.06404395604396,0.707747252747253
1.55,1737,1785,2525,578,2.09967032967033,2.15769230769231,3.0521978021978,0.698681318681319,2.11151648351648,2.2022967032967,3.05243956043956,0.684901098901099
1.56,1739,1767,2518,548,2.10208791208791,2.13593406593407,3.04373626373626,0.662417582417582,2.10486813186813,2.19165934065934,3.0447032967033,0.672450549450549
1.57,1836,1877,2505,566,2.21934065934066,2.2689010989011,3.02802197802198,0.684175824175824,2.0922967032967,2.19250549450549,3.036,0.65589010989011
1.58,1675,1798,2520,525,2.02472527472527,2.17340659340659,3.04615384615385,0.634615384615385,2.08867032967033,2.19407692307692,3.02705494505495,0.645978021978022
1.59,1728,1863,2455,461,2.08879120879121,2.25197802197802,2.96758241758242,0.557252747252747,2.08697802197802,2.19117582417582,3.01545054945055,0.640901098901099
1.6,1724,1787,2517,504,2.08395604395604,2.16010989010989,3.04252747252747,0.609230769230769,2.07887912087912,2.19721978021978,3.00710989010989,0.631472527472527
1.61,1675,1844,2469,501,2.02472527472527,2.22901098901099,2.98450549450549,0.605604395604396,2.07779120879121,2.20096703296703,3.00445054945055,0.624582417582418
1.62,1717,1822,2466,500,2.07549450549451,2.20241758241758,2.98087912087912,0.604395604395604,2.05494505494506,2.2080989010989,2.99695604395604,0.620956043956044
1.63,1702,1805,2422,524,2.05736263736264,2.18186813186813,2.92769230769231,0.633406593406593,2.02762637362637,2.20181318681319,2.98873626373626,0.613703296703297
1.64,1665,1829,2480,517,2.01263736263736,2.21087912087912,2.9978021978022,0.624945054945055,2.01856043956044,2.20483516483516,2.98184615384615,0.605241758241758
1.65,1728,1816,2503,521,2.08879120879121,2.19516483516484,3.0256043956044,0.62978021978022,2.00054945054945,2.19456043956044,2.97338461538462,0.601978021978022
1.66,1550,1826,2456,518,1.87362637362637,2.20725274725275,2.96879120879121,0.626153846153846,1.99571428571429,2.19915384615385,2.96456043956044,0.596659340659341
1.67,1610,1825,2437,506,1.94615384615385,2.20604395604396,2.94582417582418,0.611648351648352,1.98350549450549,2.19178021978022,2.96093406593407,0.595813186813187
1.68,1600,1823,2463,455,1.93406593406593,2.20362637362637,2.97725274725275,0.55,1.97262637362637,2.18464835164835,2.95549450549451,0.594483516483516
1.69,1579,1778,2385,434,1.90868131868132,2.14923076923077,2.88296703296703,0.524615384615385,1.9521978021978,2.18585714285714,2.96298901098901,0.588802197802198
1.7,1684,1825,2444,460,2.0356043956044,2.20604395604396,2.95428571428571,0.556043956043956,1.94301098901099,2.17618681318681,2.95573626373626,0.581065934065934
